Lambda	b	b0	p	w
31092.000000	40.319786	0.000000	0.081496	0.032698
31097.300781	36.655223	0.000000	0.086518	0.029945
31102.699219	36.369266	0.000000	0.089445	0.029141
31108.099609	35.526020	0.000000	0.089227	0.029432
31113.400391	31.266461	0.000000	0.088544	0.021985
31118.699219	29.304503	0.000000	0.087276	0.021074
31124.000000	24.840823	0.000000	0.087537	0.016392
31129.300781	21.085122	0.000000	0.090042	0.013233
31134.599609	17.361992	0.000000	0.084922	0.008310
31139.900391	13.402160	0.000000	0.083111	0.003467
31145.199219	11.366100	0.000000	0.077250	0.000690
31150.400391	11.529096	0.000000	0.074811	0.005212
31155.699219	10.793284	0.000000	0.070263	0.005011
31160.900391	11.754210	0.000000	0.070822	0.009072
31166.199219	12.750701	0.000000	0.071029	0.011553
31171.400391	16.136733	0.000000	0.075050	0.019632
31176.599609	17.610251	0.000000	0.075145	0.024158
31181.800781	18.651419	0.000000	0.077734	0.027387
31187.000000	20.720426	0.000000	0.075710	0.032682
31192.199219	21.010985	0.000000	0.077178	0.034217
31197.400391	21.990697	0.000000	0.073527	0.038154
31202.500000	23.007567	0.000000	0.072931	0.039431
31207.699219	21.134517	0.000000	0.068612	0.036946
31212.800781	21.320610	0.000000	0.071788	0.038029
31218.000000	21.065232	0.000000	0.070351	0.040493
31223.099609	19.947719	0.000000	0.068376	0.038468
31228.300781	20.232125	0.000000	0.067143	0.039229
31233.400391	21.793563	0.000000	0.070411	0.041034
31238.500000	24.176318	0.000000	0.073684	0.046344
31243.599609	23.652011	0.000000	0.076766	0.047396
31248.699219	24.976716	0.000000	0.077147	0.051095
31253.800781	23.502228	0.000000	0.078864	0.049143
31258.900391	24.331835	0.000000	0.081123	0.052998
31263.900391	23.804800	0.000000	0.079466	0.052868
31269.000000	25.192914	0.000000	0.081085	0.055879
31274.099609	22.601264	0.000000	0.080479	0.051983
31279.099609	24.193821	0.000000	0.082428	0.055409
31284.199219	22.420461	0.000000	0.081554	0.052469
31289.199219	22.431156	0.000000	0.084296	0.054477
31294.300781	21.456660	0.000000	0.081337	0.054038
31299.300781	20.619843	0.000000	0.081918	0.054180
31304.300781	17.658487	0.000000	0.077376	0.050391
31309.300781	16.621749	0.000000	0.072685	0.048887
31314.300781	15.007539	0.000000	0.070066	0.047062
31319.400391	13.744249	0.000000	0.065487	0.044735
31324.400391	14.081971	0.000000	0.061209	0.044694
31329.300781	14.546583	0.000000	0.054880	0.044394
31334.300781	14.889028	0.000000	0.051325	0.044765
31339.300781	14.788943	0.000000	0.045308	0.045399
31344.300781	11.204597	0.000000	0.040079	0.039551
31349.300781	9.344695	0.000000	0.034723	0.037609
31354.199219	4.001546	0.000000	0.025498	0.029940
31359.199219	4.564318	0.000000	0.021113	0.032710
31364.099609	0.203143	0.000000	0.015835	0.027471
31369.099609	-0.574702	0.000000	0.012562	0.027574
31374.000000	-4.570112	0.000000	0.000006	0.021466
31379.000000	-9.518429	0.000000	-0.012915	0.014368
31383.900391	-16.524419	0.000000	-0.031064	0.002224
31388.800781	-15.864007	0.000000	-0.045647	-0.001402
31393.800781	-12.429170	0.000000	-0.059699	-0.003459
31398.699219	-13.388506	0.000000	-0.075193	-0.011927
31403.599609	-20.999466	0.000000	-0.090831	-0.027803
31408.500000	-32.551861	0.000000	-0.105604	-0.047946
31413.400391	-40.792831	0.000000	-0.112018	-0.061811
31418.300781	-32.108950	0.000000	-0.110152	-0.055592
31423.199219	-20.805300	0.000000	-0.107745	-0.045962
31428.099609	-14.774419	0.000000	-0.106851	-0.041852
31432.900391	-7.072271	0.000000	-0.103894	-0.035721
31437.800781	1.033617	0.000000	-0.104609	-0.027038
31442.699219	7.852203	0.000000	-0.104894	-0.020807
31447.500000	15.031990	0.000000	-0.106265	-0.014078
31452.400391	19.161899	0.000000	-0.102441	-0.009340
31457.300781	20.290139	0.000000	-0.103360	-0.008563
31462.099609	22.056094	0.000000	-0.099899	-0.005915
31466.900391	19.997620	0.000000	-0.099545	-0.008094
31471.800781	20.930940	0.000000	-0.095435	-0.004179
31476.599609	17.924832	0.000000	-0.097383	-0.006380
31481.400391	17.306812	0.000000	-0.091806	-0.004502
31486.300781	12.985363	0.000000	-0.092043	-0.010099
31491.099609	11.666581	0.000000	-0.086967	-0.009652
31495.900391	8.458220	0.000000	-0.084164	-0.011749
31500.699219	7.407490	0.000000	-0.082010	-0.009952
31505.500000	5.209852	0.000000	-0.081514	-0.009361
31510.300781	4.717424	0.000000	-0.075555	-0.006352
31515.099609	1.385599	0.000000	-0.070453	-0.007712
31519.900391	-1.176824	0.000000	-0.066011	-0.009373
31524.699219	-5.288737	0.000000	-0.061003	-0.012253
31529.400391	-7.133753	0.000000	-0.054418	-0.011545
31534.199219	-10.234299	0.000000	-0.049890	-0.012671
31539.000000	-11.186827	0.000000	-0.044130	-0.011800
31543.699219	-12.304343	0.000000	-0.043359	-0.011209
31548.500000	-13.801829	0.000000	-0.035152	-0.010963
31553.199219	-16.487866	0.000000	-0.033238	-0.013671
31558.000000	-19.138119	0.000000	-0.027822	-0.017173
31562.699219	-23.763064	0.000000	-0.028642	-0.022446
31567.400391	-23.934207	0.000000	-0.026980	-0.021693
31572.099609	-25.627467	0.000000	-0.023835	-0.023851
31576.900391	-25.549750	0.000000	-0.017937	-0.023997
31581.599609	-27.656096	0.000000	-0.020086	-0.027076
31586.300781	-28.426369	0.000000	-0.018597	-0.028851
31591.000000	-29.374233	0.000000	-0.016382	-0.030199
31595.699219	-27.912015	0.000000	-0.015633	-0.027728
31600.400391	-27.493380	0.000000	-0.015293	-0.028086
31605.099609	-26.185293	0.000000	-0.011000	-0.025388
31609.699219	-27.923872	0.000000	-0.012072	-0.029878
31614.400391	-24.341704	0.000000	-0.007992	-0.023338
31619.099609	-23.493059	0.000000	-0.009818	-0.021957
31623.699219	-20.639856	0.000000	-0.008105	-0.015841
31628.400391	-21.994881	0.000000	-0.010663	-0.018727
31633.000000	-20.836068	0.000000	-0.011598	-0.017315
31637.699219	-18.856905	0.000000	-0.012198	-0.014991
31642.300781	-16.139203	0.000000	-0.010437	-0.010530
31646.900391	-15.085293	0.000000	-0.007447	-0.008506
31651.500000	-13.010246	0.000000	-0.007685	-0.005657
31656.199219	-9.440767	0.000000	-0.006062	0.000958
31660.800781	-5.306165	0.000000	-0.002600	0.009069
31665.400391	-5.038429	0.000000	0.000372	0.008998
31670.000000	-4.379253	0.000000	0.000637	0.010831
31674.500000	-4.779908	0.000000	0.001321	0.010344
31679.099609	-5.095206	0.000000	0.003058	0.010442
31683.699219	-9.156324	0.000000	0.001265	0.005574
31688.300781	-10.794824	0.000000	0.002894	0.004186
31692.800781	-12.405548	0.000000	0.000463	0.003207
31697.400391	-15.057721	0.000000	-0.001526	-0.000619
31701.900391	-15.927844	0.000000	0.001706	-0.001338
31706.500000	-17.842070	0.000000	-0.001624	-0.002757
31711.000000	-18.789986	0.000000	-0.004193	-0.003346
31715.500000	-22.691026	0.000000	-0.006005	-0.007649
31720.000000	-23.269179	0.000000	-0.003863	-0.006912
31724.599609	-26.613409	0.000000	-0.008491	-0.011451
31729.099609	-26.081632	0.000000	-0.005992	-0.009606
31733.599609	-22.797559	0.000000	-0.003469	-0.006133
31738.099609	-18.179291	0.000000	-0.000659	-0.001316
31742.500000	-13.337447	0.000000	-0.000080	0.006456
31747.000000	-12.577645	0.000000	0.001726	0.006938
31751.500000	-13.659722	0.000000	0.001494	0.005190
31755.900391	-15.269527	0.000000	-0.002419	0.000014
31760.400391	-14.975011	0.000000	-0.005300	-0.000797
31764.800781	-16.050061	0.000000	-0.006113	-0.002843
31769.300781	-16.143813	0.000000	-0.005941	-0.003761
31773.699219	-14.397931	0.000000	-0.006152	-0.003977
31778.099609	-11.977271	0.000000	-0.007436	-0.000915
31782.500000	-11.841463	0.000000	-0.003187	-0.001190
31786.900391	-12.618968	0.000000	-0.001069	-0.003252
31791.300781	-12.660727	0.000000	-0.002364	-0.002934
31795.699219	-13.435904	0.000000	0.002685	-0.004614
31800.099609	-14.447385	0.000000	0.001669	-0.007380
31804.500000	-17.045797	0.000000	0.001315	-0.011504
31808.900391	-20.557840	0.000000	0.001321	-0.017333
31813.199219	-20.351757	0.000000	0.003291	-0.016500
31817.599609	-21.409635	0.000000	0.001623	-0.019757
31821.900391	-17.930360	0.000000	0.005043	-0.013893
31826.199219	-21.632454	0.000000	0.005019	-0.021221
31830.599609	-22.604465	0.000000	0.001144	-0.023747
31834.900391	-20.576346	0.000000	0.006343	-0.020279
31839.199219	-19.472277	0.000000	0.005886	-0.020513
31843.500000	-20.387234	0.000000	0.006420	-0.022001
31847.800781	-14.667876	0.000000	0.005040	-0.014177
31852.099609	-14.592997	0.000000	0.006409	-0.016127
31856.400391	-8.297255	0.000000	0.009205	-0.006544
31860.599609	-6.584506	0.000000	0.004530	-0.008612
31864.900391	-2.943233	0.000000	0.001784	-0.007477
31869.099609	1.112585	0.000000	-0.006025	-0.005652
31873.400391	7.658962	0.000000	-0.008698	0.001288
31877.599609	13.289874	0.000000	-0.015868	0.003302
31881.900391	17.283552	0.000000	-0.022104	0.001641
31886.099609	19.020121	0.000000	-0.030345	-0.002251
31890.300781	12.038889	0.000000	-0.037903	-0.017475
31894.500000	1.742323	0.000000	-0.047538	-0.036036
31898.699219	-15.422269	0.000000	-0.051672	-0.061441
31902.900391	-33.280631	0.000000	-0.054912	-0.086635
31907.000000	-44.839077	0.000000	-0.051910	-0.101771
31911.199219	-48.038014	0.000000	-0.052625	-0.107040
