Lambda	b	b0	p	w
31086.599609	25.618126	0.000000	0.011317	0.030040
31092.000000	19.336971	0.000000	0.011583	0.029496
31097.300781	31.741380	0.000000	0.018428	0.037635
31102.699219	27.064889	0.000000	0.023867	0.042026
31108.099609	31.202003	0.000000	0.027543	0.044500
31113.400391	36.804563	0.000000	0.030289	0.047388
31118.699219	47.049762	0.000000	0.034217	0.051482
31124.000000	58.687444	0.000000	0.037953	0.055322
31129.300781	75.622200	0.000000	0.042108	0.062995
31134.599609	90.537785	0.000000	0.044034	0.065728
31139.900391	105.507224	0.000000	0.044994	0.071398
31145.199219	103.899461	0.000000	0.040954	0.067602
31150.400391	94.238574	0.000000	0.034834	0.060727
31155.699219	83.547770	0.000000	0.029201	0.051826
31160.900391	73.243169	0.000000	0.025976	0.047537
31166.199219	63.025631	0.000000	0.022380	0.043250
31171.400391	43.145275	0.000000	0.016691	0.035644
31176.599609	31.930302	0.000000	0.012890	0.030931
31181.800781	15.769415	0.000000	0.008098	0.024699
31187.000000	-2.915074	0.000000	0.003427	0.016233
31192.199219	-13.047003	0.000000	-0.000595	0.011738
31197.400391	-26.020065	0.000000	-0.006384	0.001947
31202.500000	-34.781616	0.000000	-0.010059	-0.001918
31207.699219	-28.974663	0.000000	-0.013011	-0.003192
31212.800781	-40.162267	0.000000	-0.014464	-0.005265
31218.000000	-45.377708	0.000000	-0.014698	-0.006756
31223.099609	-44.315257	0.000000	-0.012706	-0.004711
31228.300781	-51.680781	0.000000	-0.013462	-0.007603
31233.400391	-60.854343	0.000000	-0.015519	-0.008098
31238.500000	-70.471657	0.000000	-0.017380	-0.010620
31243.599609	-78.385951	0.000000	-0.014186	-0.010689
31248.699219	-88.685260	0.000000	-0.014303	-0.012579
31253.800781	-85.282868	0.000000	-0.011380	-0.009749
31258.900391	-89.872890	0.000000	-0.012274	-0.010234
31263.900391	-92.611476	0.000000	-0.010760	-0.010950
31269.000000	-101.027174	0.000000	-0.009576	-0.010107
31274.099609	-99.450931	0.000000	-0.005252	-0.007236
