Lambda	b	b0	p	w
31102.699219	-0.308422	0.000000	0.067705	0.042307
31108.099609	-0.537757	0.000000	0.070850	0.043085
31113.400391	0.495800	0.000000	0.073125	0.045435
31118.699219	-1.101076	0.000000	0.076256	0.044810
31124.000000	-1.659942	0.000000	0.079235	0.047278
31129.300781	-3.259711	0.000000	0.083019	0.048480
31134.599609	-4.348680	0.000000	0.083122	0.047913
31139.900391	-5.308136	0.000000	0.083383	0.047514
31145.199219	-5.512720	0.000000	0.079606	0.045646
31150.400391	-6.380324	0.000000	0.074372	0.042790
31155.699219	-7.001606	0.000000	0.069266	0.039897
31160.900391	-6.183669	0.000000	0.067176	0.040254
31166.199219	-5.266241	0.000000	0.065181	0.040822
31171.400391	-3.743761	0.000000	0.062395	0.042590
31176.599609	-3.224453	0.000000	0.060079	0.042486
31181.800781	-1.777901	0.000000	0.057708	0.044449
31187.000000	-0.419984	0.000000	0.054118	0.044281
31192.199219	0.776864	0.000000	0.051700	0.046067
31197.400391	0.136851	0.000000	0.045783	0.042256
31202.500000	0.752000	0.000000	0.043257	0.041425
31207.699219	-1.437359	0.000000	0.038955	0.035573
31212.800781	0.108707	0.000000	0.039141	0.037799
31218.000000	-0.180848	0.000000	0.038286	0.036407
31223.099609	0.615357	0.000000	0.038728	0.036167
31228.300781	1.437087	0.000000	0.037795	0.036555
31233.400391	3.133678	0.000000	0.037686	0.038136
31238.500000	4.512184	0.000000	0.037325	0.039958
31243.599609	6.258750	0.000000	0.040222	0.043278
31248.699219	7.460492	0.000000	0.040501	0.044315
31253.800781	7.614859	0.000000	0.042982	0.045670
31258.900391	7.308142	0.000000	0.042549	0.044672
31263.900391	7.819491	0.000000	0.042383	0.044027
31269.000000	9.995939	0.000000	0.043856	0.046107
31274.099609	11.063957	0.000000	0.046032	0.047024
31279.099609	12.569823	0.000000	0.046941	0.048670
31284.199219	13.768032	0.000000	0.047384	0.048730
31289.199219	14.331834	0.000000	0.049273	0.051037
31294.300781	15.143710	0.000000	0.049341	0.051201
31299.300781	14.403010	0.000000	0.049060	0.050092
31304.300781	13.378868	0.000000	0.048451	0.047802
31309.300781	12.036172	0.000000	0.044638	0.043414
31314.300781	12.885644	0.000000	0.045178	0.043891
31319.400391	12.991677	0.000000	0.042990	0.041292
31324.400391	14.770996	0.000000	0.041217	0.041007
31329.300781	14.960383	0.000000	0.037807	0.037099
31334.300781	17.329620	0.000000	0.036086	0.037510
31339.300781	16.422951	0.000000	0.032808	0.032877
31344.300781	14.854721	0.000000	0.029432	0.028932
31349.300781	12.340576	0.000000	0.024442	0.022823
31354.199219	8.695682	0.000000	0.018119	0.015402
31359.199219	6.601035	0.000000	0.010806	0.009523
31364.099609	2.976732	0.000000	0.005887	0.003380
31369.099609	3.276067	0.000000	0.002603	0.001174
31374.000000	-0.472923	0.000000	-0.008482	-0.009149
31379.000000	-8.232288	0.000000	-0.022192	-0.026275
31383.900391	-16.849718	0.000000	-0.039498	-0.044519
31388.800781	-17.249724	0.000000	-0.051123	-0.051996
31393.800781	-16.367201	0.000000	-0.066244	-0.059609
31398.699219	-22.482383	0.000000	-0.078840	-0.076357
31403.599609	-36.044335	0.000000	-0.093007	-0.099072
31408.500000	-52.064182	0.000000	-0.103889	-0.123088
31413.400391	-57.295884	0.000000	-0.112115	-0.132143
31418.300781	-48.989319	0.000000	-0.108934	-0.127687
31423.199219	-38.976646	0.000000	-0.102542	-0.120957
31428.099609	-26.053670	0.000000	-0.097413	-0.109980
31432.900391	-13.516483	0.000000	-0.091810	-0.098697
31437.800781	-0.782497	0.000000	-0.086433	-0.086419
31442.699219	10.686919	0.000000	-0.082269	-0.075964
31447.500000	20.775850	0.000000	-0.078326	-0.066928
31452.400391	26.703269	0.000000	-0.074182	-0.059473
31457.300781	29.404003	0.000000	-0.073388	-0.056632
31462.099609	30.437826	0.000000	-0.071609	-0.054140
31466.900391	30.077721	0.000000	-0.070930	-0.054459
31471.800781	30.650640	0.000000	-0.070199	-0.051121
31476.599609	29.671200	0.000000	-0.069187	-0.051808
31481.400391	30.249439	0.000000	-0.065059	-0.045847
31486.300781	28.240019	0.000000	-0.062001	-0.046926
31491.099609	28.220951	0.000000	-0.058302	-0.042946
31495.900391	26.492709	0.000000	-0.055830	-0.042831
31500.699219	26.031884	0.000000	-0.052934	-0.039339
31505.500000	24.329158	0.000000	-0.050695	-0.039190
31510.300781	24.052461	0.000000	-0.046461	-0.034857
31515.099609	22.115631	0.000000	-0.043524	-0.032857
31519.900391	20.943644	0.000000	-0.039078	-0.029858
31524.699219	17.611802	0.000000	-0.035674	-0.029095
31529.400391	16.781847	0.000000	-0.031982	-0.025293
31534.199219	13.890880	0.000000	-0.028104	-0.024274
31539.000000	14.103056	0.000000	-0.022762	-0.019358
31543.699219	12.069043	0.000000	-0.021648	-0.019893
31548.500000	11.930774	0.000000	-0.014745	-0.014640
31553.199219	10.018060	0.000000	-0.010855	-0.012766
31558.000000	9.631676	0.000000	-0.005076	-0.009095
31562.699219	7.373751	0.000000	-0.001817	-0.008526
31567.400391	6.873040	0.000000	-0.000229	-0.008027
31572.099609	5.998831	0.000000	0.004017	-0.005858
31576.900391	6.634663	0.000000	0.009451	-0.001251
31581.599609	5.453704	0.000000	0.011765	-0.001054
31586.300781	4.767138	0.000000	0.014482	-0.000530
31591.000000	4.353850	0.000000	0.017640	0.002205
31595.699219	3.866982	0.000000	0.016619	0.001870
31600.400391	5.436877	0.000000	0.020035	0.005808
31605.099609	5.903167	0.000000	0.023301	0.008018
31609.699219	5.368653	0.000000	0.024635	0.007484
